entry_id,source_form,current_db_msn_headword,proposed_msn_headword,part_of_speech,gloss_en,gloss_es,primer_overlap,review_priority,msn_use_status,risk_flags,orthography_basis,search_fallbacks_json,source_id,source_file,source_reference,source_confidence,speaker_validation_status,editorial_status,recommended_action
kw::li::1,-li,-li,-li,suffix,a suffix that makes nouns.,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,bound_morpheme,identity,"[""-li""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::-li::sense-1,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::li::2,-li,-li,-lli,suffix,alternative spelling of -lli,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,alternative_spelling_gloss;bound_morpheme,gloss target: -lli,"[""-li"", ""-lli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::-li::sense-2,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::lli::2,-lli,-lli,-lli,suffix,a suffix that makes a noun.,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,bound_morpheme,identity,"[""-lli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::-lli::sense-2,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::quetl::1,-quetl,-quetl,-ketl,suffix,suffix that gives a noun an actor.,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,bound_morpheme,qu > k before front vowel,"[""-quetl"", ""-ketl"", ""-cetl""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::-quetl::sense-1,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::tl::2,-tl,-tl,-tl,suffix,a suffix that makes nouns.,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,bound_morpheme,identity,"[""-tl""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::-tl::sense-2,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::tli::2,-tli,-tli,-tli,suffix,a suffix that makes nouns.,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,bound_morpheme,identity,"[""-tli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::-tli::sense-2,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::tzi::1,-tzi,-tzi,-tsi,suffix,A diminutive-forming suffix.,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,bound_morpheme,z > s,"[""-tzi"", ""-tsi""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::-tzi::sense-1,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::abril::2,abril,abril,abril,noun,April,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,calendar_loan_or_name,identity,"[""abril""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::abril::sense-2,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::acahya::1,acahya,acahya,akahya,noun,companion.,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""acahya"", ""acaya"", ""akahya"", ""akaya""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::acahya::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::acatl::4,acatl,acatl,akatl,noun,obsolete spelling of akatl,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,obsolete_spelling_gloss;historical_or_archaic_note,gloss target: akatl,"[""acatl"", ""akatl""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::acatl::sense-4,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::achakalin::1,achakalin,achakalin,achakalin,noun,shrimp,,no,P2_general_ehn_candidate,candidate_internal_use,,identity,"[""achakalin"", ""acakalin"", ""achacalin""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::achakalin::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::achi::3,achi,achi,achi,det,a little.,,yes,P1_primer_core_candidate,candidate_internal_use,,identity,"[""achi"", ""aci""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::achi::sense-3,0.95,Unreviewed,Imported_raw,Review first; likely useful for initial MSN authoring.
kw::achtihuiehquetl::1,achtihuiehquetl,achtihuiehquetl,achtiwiehketl,noun,The oldest son or daughter.,,no,P2_general_ehn_candidate,candidate_internal_use,,hu> w before vowel; qu > k before front vowel,"[""achtihuiehquetl"", ""actiuiequetl"", ""achtiwiehketl"", ""actiwieketl"", ""achtihuiehcetl""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::achtihuiehquetl::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
